t			 bot		top	
    11                         0                         0
    51      5.21741431461566e-05                         0
    91      8.09187200223495e-05      2.38598668723449e-07
   121      8.58243597339802e-05      8.34350384831329e-07
   161      9.14680731746416e-05      1.71687457164399e-06
   201      9.47033803088842e-05      2.27190204277796e-06
   241      9.79286482782073e-05      2.58464154076576e-06
   271      9.66769453305554e-05      2.70638858671563e-06
   311       9.3331065485874e-05      2.60968624194309e-06
   351      9.35452225127969e-05      2.81976374955241e-06
   401      0.000100816380366932      3.05502785466301e-06
   431      0.000102399269334686       3.4016096259131e-06
   471      0.000106733386127523      3.91137216970673e-06
   511      0.000109862448389207      4.64852357263169e-06
   551      0.000112591575861836      5.83009426217088e-06
   581      0.000114707391948268       5.9184956719923e-06
   621      0.000113712805139615      7.18875156400081e-06
   651      0.000114109972950354      7.66353666394054e-06
   691      0.000115409388536934      8.09798773379723e-06
   731      0.000116495853215345      9.08860144537949e-06
   771      0.000118412375914788       9.6452607242389e-06
   801      0.000118910964123071      1.05065004624589e-05
   841      0.000121041431004951      1.12865045552171e-05
   881       0.00012436318847456      1.21905260351083e-05
   921      0.000123929659730809      1.27713786372013e-05
   951      0.000122909141368954      1.36633389295567e-05
   991      0.000122270111274042      1.53318623288144e-05
  1031       0.00012222445613181       1.6125027305619e-05
  1071       0.00012137038215795      1.80451683613227e-05
  1101      0.000122483558819345      1.89733122162855e-05
  1141      0.000122110868124488      1.96113135628498e-05
  1181      0.000121414866655508      2.15852333253309e-05
  1221       0.00012020853505744       2.2715011856628e-05
