t		 l						   lmin						lmax
25       0.00168700550638209       0.00163903092389246       0.00173498008887172
50        0.0016665745273537       0.00162087527584339         0.001712273778864
75       0.00162811622123693       0.00157691294992367       0.00167931949255019
100       0.00160275276504002       0.00159010804840534       0.00161539748167471
125       0.00153621129447906        0.0014967920868576       0.00157563050210052
150       0.00147553248103284       0.00143202973011094       0.00151903523195474
175       0.00138801411600365        0.0013460258998921        0.0014300023321152
200       0.00132728920580748       0.00130010624521761       0.00135447216639735
225       0.00121593132564558       0.00116893634627292       0.00126292630501824
250       0.00113716209877297       0.00110407823323421       0.00117024596431173
275        0.0010772486912535       0.00104614680009859       0.00110835058240841
300       0.00100360869596994      0.000985523237235518       0.00102169415470437
325      0.000941761098804026      0.000901390898639608      0.000982131298968444
350      0.000886971426242175      0.000859733455507937      0.000914209396976414
375      0.000826264130251271      0.000805249675277083      0.000847278585225458
400      0.000767580094320677      0.000740415650781722      0.000794744537859632
425      0.000721038367067668      0.000709307775544529      0.000732768958590807
450      0.000681739451112308      0.000662639236775785      0.000700839665448831
475      0.000637757655024766      0.000624739156417946      0.000650776153631585
525      0.000587522191450239      0.000568257465036403      0.000606786917864076
550      0.000553410846331166      0.000522157873912564      0.000584663818749768
575      0.000536099455486654      0.000508603325417575      0.000563595585555733
600      0.000503071196606337      0.000481908156894393       0.00052423423631828
625       0.00047731523095589       0.00046406648628405      0.000490563975627729
675      0.000446287995763277      0.000437284435969556      0.000455291555556998
700        0.0004362166679007      0.000416510034613865      0.000455923301187535
750      0.000393982800608161      0.000375643658112024      0.000412321943104298
800       0.00038478193928672      0.000364644298083064      0.000404919580490376
825      0.000359417983396044      0.000338130206684594      0.000380705760107494
875      0.000332488986628881      0.000317193499595206      0.000347784473662557
925      0.000320438871451205      0.000288879873391855      0.000351997869510556
975      0.000294973477725942      0.000273978362800923      0.000315968592650962
1025      0.000279385780528762      0.000260309879253755      0.000298461681803768
1100      0.000255194605907918      0.000227878687763569      0.000282510524052266
1150      0.000246408990106388      0.000220132075734781      0.000272685904477994
1225      0.000224367248221881      0.000199170811369818      0.000249563685073945
1275      0.000220384938750246      0.000198598803896823      0.000242171073603669
1350       0.00020010486723932      0.000183971943691467      0.000216237790787173
1425       0.00019438462284801      0.000176928082963396      0.000211841162732624
1500      0.000181381341810852      0.000171268228847281      0.000191494454774422
1600      0.000176998777632299      0.000159314112930434      0.000194683442334163
1675        0.0001727166519008       0.00015345119283699       0.00019198211096461
1775      0.000157783053843888      0.000131570632037145       0.00018399547565063
1875      0.000155039235372371      0.000138145052711875      0.000171933418032868
1975      0.000147128833202759      0.000123561357540961      0.000170696308864558
2075      0.000129221057848002      0.000108184860179447      0.000150257255516557
2200      0.000119888777065988      0.000103754854698265      0.000136022699433711
2325      0.000114683716947876      9.85083471768136e-05      0.000130859086718939
2450      0.000106552699980381      8.62435094928077e-05      0.000126861890467955
2600      9.40673515321372e-05      6.65668931147054e-05      0.000121567809949569
2725      8.64150411928907e-05      6.01116040809251e-05      0.000112718478304856
2875      8.95151413198781e-05      5.74657352235562e-05        0.0001215645474162
3050      7.67264787554054e-05      4.10322589016164e-05      0.000112420698609194
3225      6.81797165742332e-05      3.43284387577783e-05      0.000102030994390688
3400      6.39977794429054e-05       3.0966010180621e-05      9.70295487051897e-05
3575      5.81188822807508e-05      2.49435846393918e-05      9.12941799221099e-05
3775      5.49493247202284e-05      1.74784955576919e-05      9.24201538827649e-05
4000      5.02542020907678e-05      1.46673763712324e-05      8.58410278103033e-05
4200      4.61652079999977e-05      9.74038523106769e-06      8.25900307689276e-05
4450      3.50470216967304e-05                         0      7.56109433189317e-05
4700       2.2415762668686e-05                         0      4.95129759538964e-05
