t		l							lmin					lmax
25       0.00167086602234332       0.00165051473540297       0.00169121730928366
50       0.00161074036989655       0.00157675023300932       0.00164473050678378
75       0.00150583491041723       0.00147758007444799       0.00153408974638647
100       0.00138937353289525       0.00137232142948547       0.00140642563630503
125       0.00125118859349454       0.00120571302474246       0.00129666416224662
150        0.0011214552246125       0.00111208303770303       0.00113082741152196
175       0.00101101790529182      0.000959285564762036        0.0010627502458216
200      0.000915295443081794      0.000879404056912164      0.000951186829251424
225      0.000809310520143529      0.000775348346267647      0.000843272694019411
250      0.000761405128601908      0.000722825456271614      0.000799984800932201
275      0.000687294047020044      0.000654112113342145      0.000720475980697942
300      0.000652433161251312      0.000635092114117027      0.000669774208385597
325      0.000614735638893947      0.000604948931087855       0.00062452234670004
350       0.00058411078210676      0.000563470136131952      0.000604751428081569
375      0.000538810294169585      0.000523983106003404      0.000553637482335767
400      0.000504481332415228      0.000492393266632367      0.000516569398198088
425      0.000480117763444962      0.000468503259968963      0.000491732266920962
450      0.000456603174183877      0.000446025597634434       0.00046718075073332
475      0.000443525313852078      0.000436730491129202      0.000450320136574954
500      0.000429296284005845      0.000415805469185781      0.000442787098825909
550       0.00038128508230918      0.000372375937752551      0.000390194226865809
575      0.000369061823241433      0.000356750201583971      0.000381373444898895
600      0.000354412800784508      0.000333888560430599      0.000374937041138417
650      0.000333283999411286      0.000304260523914183      0.000362307474908388
675      0.000321724833359136      0.000301143891633513      0.000342305775084759
725      0.000301666625880509      0.000284253053649996      0.000319080198111022
775      0.000285102527063707      0.000263520197676116      0.000306684856451297
800      0.000278049849244187      0.000257736350163101      0.000298363348325273
850      0.000254639571056846       0.00023108266638323      0.000278196475730461
900      0.000237519188154555      0.000215173488891513      0.000259864887417598
950      0.000227960795943227      0.000206325944980397      0.000249595646906057
1025      0.000209978316370388      0.000190804690239007      0.000229151942501768
1075      0.000200747473422961      0.000177460445959031       0.00022403450088689
1150       0.00019472066690594      0.000176957714030369      0.000212483619781511
1200      0.000187732699429174      0.000173151674486196      0.000202313724372153
1275      0.000176328188597738       0.00016383340673118      0.000188822970464295
1350      0.000175303566529654      0.000161127038106199       0.00018948009495311
1425      0.000162931398719509      0.000148739184203687       0.00017712361323533
1525       0.00015461849322103       0.00013896556256794       0.00017027142387412
1600      0.000150020561029142      0.000134445419217108      0.000165595702841175
1700      0.000143580507767276      0.000126655048446315      0.000160505967088237
1800       0.00013627198673934      0.000126019868747962      0.000146524104730717
1900      0.000130918017878829      0.000116522663930144      0.000145313371827514
2000      0.000123216237856705      0.000112061607054689      0.000134370868658721
2125      0.000116923594255939      0.000105162015162733      0.000128685173349145
2250      0.000114461852915578      0.000103999877278266      0.000124923828552889
2375      0.000106206662047122       9.6436955205411e-05      0.000115976368888834
2525      9.86885194841648e-05      8.80795617330669e-05      0.000109297477235263
2675      9.49985308658962e-05      8.55907222452499e-05      0.000104406339486543
2825       9.0380111229584e-05      8.21107647065876e-05      9.86494577525804e-05
3000      8.52297675788975e-05      7.64083174089951e-05      9.40512177487998e-05
3175      8.41351883835129e-05      7.38986783316704e-05      9.43716984353554e-05
3350      8.25549068471496e-05      6.70000622803057e-05      9.81097514139935e-05
3550      7.16480910070861e-05      5.54742806995739e-05      8.78219013145984e-05
3775      6.77767135516001e-05      5.01310582324824e-05      8.54223688707178e-05
3975       6.3705958283305e-05      4.22299554872898e-05      8.51819610793203e-05
4225      5.60761341635483e-05      3.42348174637625e-05      7.79174508633341e-05
4475      5.13435345016048e-05      2.79215116721241e-05      7.47655573310854e-05
4725      4.58703886777987e-05       2.1005068488909e-05      7.07357088666883e-05
5000      4.24509842340568e-05      1.44041033103498e-05      7.04978651577637e-05
5300      3.68444201746114e-05      8.93606219090238e-06      6.47527781583205e-05
5600      2.99606388481481e-05      7.12802538550835e-06      5.27932523107879e-05
