         x         y  pol
   -4.0765   -4.7946    1
   -4.9218    4.2368    0
   -0.7689    1.5370    0
    1.5557    4.3261    1
    2.2292   -3.3649    1
    0.3121    4.2110    1
   -3.9118    2.9466    1
    1.3177    0.7739    1
   -3.7350   -0.5996    1
   -3.6570   -2.4239    0
   -4.0141    2.5195    1
   -3.5797   -2.7133    1
   -3.3175   -4.3581    0
   -3.0375    2.6733    0
    0.8252    1.7120    1
    0.8357    2.1521    0
   -2.8244    1.4206    1
   -2.4896   -0.8095    1
    3.9292    0.0924    0
    2.0322    3.1614    0
    0.5574    0.8257    1
   -3.1557    3.1454    0
   -2.8797    2.8907    1
   -4.2265    3.5226    1
    4.1380    0.0564    1
    2.0672    1.3566    0
    0.5779    4.5089    0
    0.8657   -0.5604    0
   -3.3380   -4.3998    1
    1.2250    3.6675    1
    4.8793    1.3119    1
   -3.2957    0.4493    0
   -2.4221    4.9700    1
    0.0320   -2.7583    0
   -4.2601    1.5245    0
    1.8410    1.0499    1
   -0.9761    0.1275    0
    4.8284   -3.5781    1
   -0.9782   -4.7487    1
    1.2067   -0.7889    1
   -3.4563   -3.1590    1
    0.1865    2.2578    0
   -3.3887    0.2964    1
    2.5811    3.4156    1
    3.7111    2.3423    1
    0.4922    0.7103    0
    1.8554   -3.2314    0
   -2.0585    4.5738    0
    0.3063   -2.3468    1
    3.3242    4.2458    1
    0.9749   -2.7623    1
    0.6469    0.2644    0
   -2.0077   -4.1250    0
   -0.4741    1.4012    0
   -0.7735   -3.1938    1
    0.4039   -4.5495    0
    0.5832    2.2317    0
    2.4255    0.5256    1
   -0.7567    1.6062    0
   -0.7064    0.1613    1
   -3.7513    1.2735    0
   -4.7557   -4.7835    0
   -2.0981    4.1057    1
    0.8248    3.0056    0
    1.5369    2.4585    0
    4.5694    3.1311    0
    4.3573    0.1669    1
   -0.4211    1.1728    0
   -2.5952    0.7549    0
    2.6390    0.3005    0
    2.5933   -2.2493    0
    2.4065   -2.5137    1
    2.4369   -0.4836    0
   -3.9408   -2.7229    1
    1.8156    3.0445    1
   -0.3674    4.8610    0
   -2.8784   -4.7001    1
   -4.0148    0.3566    1
    3.2357   -4.1292    0
   -3.2499    3.0209    1
   -3.3643    4.8914    0
    1.6599   -4.3305    1
    3.9439    4.3940    0
    0.1656   -4.8182    0
    2.0270    1.8384    1
   -3.4641    2.8374    0
    4.5346    0.3414    1
    0.4088    3.8536    0
    1.7973    3.9900    0
   -4.6344    1.2594    0
    3.0920   -3.6213    1
    2.4862   -2.8220    0
   -3.7981   -3.1786    0
    0.2505   -4.5818    1
    0.7417   -3.9306    0
    0.4645    1.1644    0
    0.0112    4.3966    1
   -0.8491    0.4554    1
   -3.1926   -0.8937    0
   -2.4461    4.8435    0
