        x          y     class
   -1.1774    4.8321         0
   -0.5401    3.1082         0
    3.7239   -0.3223         0
    3.8503   -1.1959         0
   -2.9221    1.9246         0
    2.9584   -3.9522         0
    1.9143   -4.7161         0
    1.2018   -3.0087         0
   -0.9528   -2.3650         0
   -3.5394    4.8738         0
   -4.5350   -2.9336         0
   -2.5432   -4.4648         0
   -3.2702   -4.1386         0
   -2.3986   -1.4192         0
    4.5667    3.3460         0
    1.0892   -4.7097         0
    1.0856   -3.6719         0
   -2.4942   -3.1364         0
    2.8500    4.5051         0
   -4.8871    4.9689         0
   -3.7653    4.5054         0
    1.4360    4.5941         0
    4.0149   -2.7325         0
   -1.1473   -2.3953         0
    2.6732   -1.1633         0
    3.8813    3.7562         0
   -4.2403    4.5910         0
   -1.4738    1.3067         0
    4.6400   -2.2138         0
    0.6073   -4.0698         0
    3.4956   -2.9772         0
    3.5178    2.4358         0
    2.2388    1.8169         0
    4.4593    0.2943         0
    1.9669    3.3745         0
   -4.3279   -0.3370         0
   -2.0994   -1.7763         0
   -3.0281    0.8726         0
   -3.4262    1.3954         0
   -2.0389   -4.8251         0
   -2.4252   -4.6326         0
   -2.8365   -4.4486         0
    0.2603   -4.3602         0
   -1.7911   -4.2863         0
   -2.1532    4.6478         0
   -4.2351   -4.1684         0
    3.8509   -0.4474         0
   -3.6240    4.5620         0
    1.6625    0.0864         0
   -4.9873   -2.8969         0
    3.9002    4.9845         0
   -0.0167    4.6991         0
    4.3738    1.7315         0
   -4.8304   -4.2349         0
    1.9727   -2.8831         0
    2.7832   -4.5424         0
    1.5249    0.0571         0
    0.5158    4.5016         0
    0.1740    0.7756         0
   -0.9504   -0.6055         0
    0.4062    1.0200         0
   -2.2635   -2.8545         0
   -3.4477    1.7257         0
    3.8246   -1.7614         0
   -3.1203    1.3414         0
   -0.6420   -1.4442         0
   -1.3695   -3.4742         0
    3.8102   -4.1551         0
    3.0124    2.3880         0
   -4.9405    3.3741         0
    0.8955   -1.3253         0
   -0.9322   -3.7295         0
   -4.6906   -4.2667         0
   -0.6762    3.9222         0
   -0.8679   -2.6519         0
    3.8545    2.6720         0
   -2.7325   -0.1294         0
    4.7468    2.9643         0
    0.0985   -1.9140         0
    3.2152    0.0859         0
   -2.9636    3.0712         0
   -3.0807    2.5031         0
    3.8982    3.6175         0
    2.3250    0.5330         0
    2.5226    2.9564         0
   -0.9610    4.4986         0
    2.2178    2.4584         0
   -0.8316   -4.3802         0
    4.8659   -3.0965         0
    0.3905    2.4645         0
   -0.7629   -3.9078         0
   -4.2902    4.7674         0
    3.4570    2.7333         0
    1.5747    4.9430         0
   -1.3270   -1.8273         0
    1.9971    2.3397         0
   -2.2642    3.1552         0
   -3.5505   -0.8459         0
   -1.9525   -0.5335         0
   -3.8808    0.7618         0
   -4.2373   -4.5998         0
   -4.3811   -4.1806         0
   -4.6852   -4.3078         0
   -4.1984   -4.0847         0
   -4.2368   -4.3585         0
   -4.7543   -4.3387         0
   -4.4925   -4.9865         0
   -4.8530   -4.1364         0
   -4.8703   -4.8119         0
   -4.3393   -4.7353         0
   -4.9268   -4.8188         0
   -4.7984   -4.4603         0
   -4.1493   -4.4814         0
   -4.4042   -4.2991         0
   -4.3227   -4.2154         0
   -4.0350   -4.7445         0
   -4.1946   -4.0849         0
   -4.2489   -4.6724         0
   -4.2016   -4.8234         0
   -4.7261   -4.7711         0
   -4.5871   -4.8605         0
   -4.7266   -4.4253         0
   -4.7851   -4.3578         0
   -4.7154   -4.7510         0
   -4.3155   -4.4098         0
   -4.5652   -4.6393         0
   -4.4402   -4.2804         0
   -4.7993   -4.6644         0
   -4.3901   -4.5220         0
   -4.2113   -4.7762         0
   -4.9386   -4.5756         0
   -4.0110   -4.3782         0
   -4.3785   -4.9087         0
   -4.0256   -4.8508         0
   -4.1453   -4.8505         0
   -4.9607   -4.9112         0
   -4.5545   -4.3220         0
   -4.6768   -4.4471         0
   -4.8450   -4.1941         0
   -4.1260   -4.6000         0
   -4.6479   -4.4261         0
   -4.6002   -4.7283         0
   -4.0889   -4.3935         0
   -4.6018   -4.0869         0
   -4.5251   -4.4282         0
   -4.1059   -4.0148         0
   -4.3125   -4.9819         0
   -4.3400   -4.5392         0
   -4.2253   -4.4961         0
   -4.1915   -4.2858         0
   -4.6820   -4.3094         0
   -4.9905   -4.0073         0
   -4.0858   -4.7312         0
   -4.9025   -4.4489         0
   -4.1357   -4.9409         0
   -4.0422   -4.7485         0
   -4.1350   -4.4618         0
   -4.3261   -4.5123         0
   -4.4438   -4.6956         0
   -4.5486   -4.8591         0
   -4.6701   -4.6579         0
   -4.9121   -4.1610         0
   -4.6684   -4.3700         0
   -4.1520   -4.7540         0
   -4.9184   -4.5215         0
   -4.8601   -4.0069         0
   -4.7127   -4.2734         0
   -4.1720   -4.9708         0
   -4.4452   -4.4473         0
   -4.6796   -4.3613         0
   -4.2203   -4.6218         0
   -4.1226   -4.7449         0
   -4.4292   -4.4417         0
   -4.4405   -4.2453         0
   -4.2893   -4.9036         0
   -4.6679   -4.5829         0
   -4.0623   -4.5032         0
   -4.8825   -4.1415         0
   -4.2058   -4.4047         0
   -4.6701   -4.3605         0
   -4.8854   -4.9416         0
   -4.4505   -4.5149         0
   -4.3493   -4.8711         0
   -4.3869   -4.3273         0
   -4.2481   -4.2330         0
   -4.8374   -4.8769         0
   -4.2270   -4.2819         0
   -4.2285   -4.3166         0
   -4.1454   -4.9663         0
