         t       e08       e14
         0         0         0
    0.0021         0         0
    0.0042         0         0
    0.0064         0         0
    0.0085         0         0
    0.0106         0         0
    0.0127         0         0
    0.0149         0         0
    0.0170         0         0
    0.0191         0         0
    0.0212         0         0
    0.0233         0         0
    0.0255         0         0
    0.0276         0         0
    0.0297         0         0
    0.0318         0         0
    0.0340         0         0
    0.0361         0         0
    0.0382         0         0
    0.0403         0         0
    0.0424         0         0
    0.0446    0.4316         0
    0.0467    0.3693         0
    0.0488    0.2970         0
    0.0509    0.2253    0.5181
    0.0531    0.1587    0.5189
    0.0552    0.1079    0.5243
    0.0573    0.0799    0.5911
    0.0594         0    0.8059
    0.0615         0    0.9500
    0.0637         0    1.0418
    0.0658    0.1318    1.0098
    0.0679         0    0.9994
    0.0700         0    0.9797
    0.0722    0.2781    1.0068
    0.0743    0.3074    1.0575
    0.0764    0.3241    1.1258
    0.0785         0    1.1548
    0.0806    0.3254    1.1670
    0.0828    0.3034    1.1650
    0.0849         0    1.0600
    0.0870         0    1.0022
    0.0891    0.2939    0.9027
    0.0912         0    0.8634
    0.0934    0.3055    1.0049
    0.0955         0    1.0949
    0.0976         0    1.2216
    0.0997    0.2365    1.3364
    0.1019    0.1875    1.4290
    0.1040    0.2106    1.5626
    0.1061    0.2856    1.6213
    0.1082    0.3284    1.6228
    0.1103    0.3740    1.6431
    0.1125    0.4018    1.6346
    0.1146    0.4192    1.6718
    0.1167    0.3855    1.6819
    0.1188    0.3638    1.5869
    0.1210    0.3420    1.4699
    0.1231    0.3041    1.3431
    0.1252    0.3069    1.3597
    0.1273    0.3097    1.3968
    0.1294    0.3481    1.4472
    0.1316    0.3812    1.4074
    0.1337    0.4081    1.3387
    0.1358    0.4113    1.2962
    0.1379    0.4296    1.3071
    0.1401    0.4125    1.3285
    0.1422    0.4121    1.3008
    0.1443    0.4411    1.3199
    0.1464    0.4856    1.4432
    0.1485    0.4833    1.5745
    0.1507    0.4417    1.7240
    0.1528    0.4200    1.6988
    0.1549    0.3866    1.5955
    0.1570    0.4482    1.5601
    0.1592    0.4750    1.5608
    0.1613    0.5128    1.4575
    0.1634    0.5461    1.4376
    0.1655    0.5965    1.5183
    0.1676    0.5803    1.5093
    0.1698    0.5650    1.4703
    0.1719    0.5720    1.4360
    0.1740    0.6124    1.4200
    0.1761    0.5932    1.4934
    0.1783    0.5683    1.5896
    0.1804    0.5536    1.6890
    0.1825    0.5886    1.7850
    0.1846    0.6134    1.8119
    0.1867    0.6608    1.8279
    0.1889    0.6870    1.7944
    0.1910    0.6855    1.7962
    0.1931    0.7057    1.8677
    0.1952    0.6948    1.8269
    0.1974    0.7096    1.7270
    0.1995    0.7227    1.6427
    0.2016    0.6995    1.5683
    0.2037    0.7162    1.5577
    0.2058    0.7143    1.5556
    0.2080    0.7293    1.5904
    0.2101    0.7748    1.6499
    0.2122    0.8199    1.6964
    0.2143    0.8391    1.7627
    0.2165    0.8411    1.8562
    0.2186    0.8016    1.9105
    0.2207    0.7794    1.9445
    0.2228    0.7395    1.9825
    0.2249    0.7385    1.9556
    0.2271    0.7415    1.9382
    0.2292    0.7740    1.9045
    0.2313    0.7859    1.8929
    0.2334    0.8041    1.8459
    0.2355    0.8374    1.7537
    0.2377    0.8957    1.6727
    0.2398    0.9130    1.6615
    0.2419    0.9281    1.7236
    0.2440    0.9052    1.8051
    0.2462    0.9038    1.9124
    0.2483    0.8667    1.9968
    0.2504    0.8351    2.0206
    0.2525    0.8115    2.0341
    0.2546    0.7889    2.0564
    0.2568    0.8187    2.0833
    0.2589    0.8604    2.1199
    0.2610    0.8778    2.1634
    0.2631    0.8886    2.1448
    0.2653    0.8901    2.0957
    0.2674    0.8933    2.0106
    0.2695    0.8986    2.0175
    0.2716    0.8778    2.0174
    0.2737    0.8813    2.0006
    0.2759    0.8833    1.9838
    0.2780    0.8980    1.9265
    0.2801    0.9183    1.9125
    0.2822    0.9460    1.9576
    0.2844    0.9597    1.9905
    0.2865    0.9785    1.9931
    0.2886    0.9746    2.0519
    0.2907    0.9570    2.1376
    0.2928    0.9634    2.1661
    0.2950    0.9472    2.1465
    0.2971    0.9107    2.0909
    0.2992    0.9011    2.0504
    0.3013    0.8906    2.0150
    0.3035    0.9022    2.0152
    0.3056    0.9279    2.0112
    0.3077    0.9540    2.0199
    0.3098    0.9808    2.0163
    0.3119    0.9961    2.0074
    0.3141    0.9861    1.9804
    0.3162    0.9731    1.9783
    0.3183    0.9499    1.9595
    0.3204    0.9404    1.9535
    0.3226    0.9327    2.0060
    0.3247    0.9298    2.0788
    0.3268    0.9539    2.1256
    0.3289    0.9859    2.1348
    0.3310    1.0013    2.1365
    0.3332    1.0091    2.1222
    0.3353    1.0042    2.1262
    0.3374    1.0089    2.1338
    0.3395    1.0064    2.1360
    0.3417    1.0110    2.1309
    0.3438    0.9825    2.1111
    0.3459    0.9777    2.0538
    0.3480    0.9822    2.0081
    0.3501    0.9645    1.9537
    0.3523    0.9759    1.9413
    0.3544    0.9753    1.9561
    0.3565    0.9815    2.0285
    0.3586    0.9914    2.1129
    0.3608    1.0144    2.1454
    0.3629    1.0361    2.1354
    0.3650    1.0414    2.1072
    0.3671    1.0158    2.0870
    0.3692    1.0105    2.0683
    0.3714    1.0023    2.0806
    0.3735    1.0080    2.1021
    0.3756    1.0045    2.1376
    0.3777    1.0149    2.1214
    0.3798    1.0292    2.0916
    0.3820    1.0302    2.0361
    0.3841    1.0232    2.0017
    0.3862    1.0529    1.9752
    0.3883    1.0589    1.9846
    0.3905    1.0516    2.0274
    0.3926    1.0461    2.0756
    0.3947    1.0569    2.0764
    0.3968    1.0504    2.0845
    0.3989    1.0595    2.0788
    0.4011    1.0632    2.0672
    0.4032    1.0728    2.1080
    0.4053    1.0593    2.1540
    0.4074    1.0751    2.1902
    0.4096    1.0682    2.2166
    0.4117    1.0462    2.1920
    0.4138    1.0437    2.1534
    0.4159    1.0314    2.0924
    0.4180    1.0090    2.0325
    0.4202    1.0158    1.9807
    0.4223    1.0166    1.9683
    0.4244    1.0248    1.9843
    0.4265    1.0625    2.0024
    0.4287    1.0649    2.0473
    0.4308    1.0875    2.0591
    0.4329    1.0899    2.0526
    0.4350    1.0995    2.0381
    0.4371    1.0917    2.0077
    0.4393    1.0785    2.0116
    0.4414    1.0662    2.0360
    0.4435    1.0555    2.0598
    0.4456    1.0477    2.0671
    0.4478    1.0427    2.0097
    0.4499    1.0488    1.9402
    0.4520    1.0515    1.9021
    0.4541    1.0732    1.8907
    0.4562    1.0844    1.9172
    0.4584    1.0873    1.9589
    0.4605    1.0963    2.0024
    0.4626    1.0965    2.0364
    0.4647    1.1042    2.0395
    0.4669    1.0993    2.0271
    0.4690    1.0848    2.0090
    0.4711    1.0911    1.9973
    0.4732    1.1062    1.9827
    0.4753    1.0995    1.9793
    0.4775    1.1044    1.9872
    0.4796    1.1022    1.9643
    0.4817    1.0900    1.9348
    0.4838    1.0804    1.9200
    0.4860    1.0585    1.8957
    0.4881    1.0429    1.8901
    0.4902    1.0395    1.8955
    0.4923    1.0495    1.9272
    0.4944    1.0699    1.9409
    0.4966    1.0788    1.9533
    0.4987    1.0986    1.9601
    0.5008    1.1093    1.9439
    0.5029    1.1211    1.9424
    0.5051    1.1220    1.9566
    0.5072    1.1021    1.9760
    0.5093    1.0914    1.9827
    0.5114    1.0710    1.9676
    0.5135    1.0575    1.9093
    0.5157    1.0545    1.8430
    0.5178    1.0470    1.7830
    0.5199    1.0604    1.7637
    0.5220    1.0693    1.7741
    0.5242    1.0797    1.8140
    0.5263    1.0908    1.8537
    0.5284    1.1088    1.8975
    0.5305    1.1118    1.9352
    0.5326    1.1078    1.9660
    0.5348    1.0943    1.9594
    0.5369    1.0810    1.9543
    0.5390    1.0814    1.9270
    0.5411    1.0855    1.9151
    0.5432    1.0951    1.9083
    0.5454    1.1026    1.8927
    0.5475    1.0935    1.8524
    0.5496    1.0900    1.8080
    0.5517    1.0882    1.7495
    0.5539    1.0782    1.7033
    0.5560    1.0790    1.7258
    0.5581    1.0726    1.7799
    0.5602    1.0744    1.8244
    0.5623    1.0786    1.8340
    0.5645    1.0806    1.8336
    0.5666    1.0819    1.8346
    0.5687    1.0783    1.8324
    0.5708    1.0869    1.8288
    0.5730    1.0867    1.8240
    0.5751    1.0867    1.8188
    0.5772    1.0809    1.8139
    0.5793    1.0777    1.8061
    0.5814    1.0644    1.7869
    0.5836    1.0475    1.7390
    0.5857    1.0396    1.6982
    0.5878    1.0293    1.6779
    0.5899    1.0356    1.6728
    0.5921    1.0480    1.6851
    0.5942    1.0598    1.7368
    0.5963    1.0743    1.7963
    0.5984    1.0843    1.8232
    0.6005    1.0887    1.8083
    0.6027    1.0768    1.8153
    0.6048    1.0650    1.8307
    0.6069    1.0644    1.8549
    0.6090    1.0475    1.8428
    0.6112    1.0381    1.8351
    0.6133    1.0479    1.8164
    0.6154    1.0513    1.7490
    0.6175    1.0445    1.6807
    0.6196    1.0420    1.6407
    0.6218    1.0450    1.6437
    0.6239    1.0395    1.6592
    0.6260    1.0406    1.7023
    0.6281    1.0394    1.7234
    0.6303    1.0386    1.7415
    0.6324    1.0347    1.7453
    0.6345    1.0279    1.7383
    0.6366    1.0325    1.7220
