
# Surface 0 of 1 surfaces

# Curve title: ""numerics/figures/profile1-1um-gnu.dat" using 1:2:3"
# IsoCurve 0, 65536 points
# x y z type
0.0000000e+00 0.0000000e+00 4.2466200e+00 4.24662 i
3.9220000e-03 0.0000000e+00 4.3383900e+00 4.33839 i
7.8430000e-03 0.0000000e+00 4.3095700e+00 4.30957 i
1.1765000e-02 0.0000000e+00 4.3091300e+00 4.30913 i
1.5686000e-02 0.0000000e+00 4.2945000e+00 4.2945 i
1.9608000e-02 0.0000000e+00 4.2869600e+00 4.28696 i
2.3529000e-02 0.0000000e+00 4.2936100e+00 4.29361 i
2.7451000e-02 0.0000000e+00 4.3215400e+00 4.32154 i
3.1373000e-02 0.0000000e+00 4.3565700e+00 4.35657 i
3.5294000e-02 0.0000000e+00 4.3277500e+00 4.32775 i
3.9216000e-02 0.0000000e+00 4.2776500e+00 4.27765 i
4.3137000e-02 0.0000000e+00 4.2984800e+00 4.29848 i
4.7059000e-02 0.0000000e+00 4.2200100e+00 4.22001 i
5.0980000e-02 0.0000000e+00 4.2763100e+00 4.27631 i
5.4902000e-02 0.0000000e+00 4.3326200e+00 4.33262 i
5.8824000e-02 0.0000000e+00 4.2683300e+00 4.26833 i
6.2745000e-02 0.0000000e+00 4.2324200e+00 4.23242 i
6.6667000e-02 0.0000000e+00 4.2745400e+00 4.27454 i
7.0588000e-02 0.0000000e+00 4.2670000e+00 4.267 i
7.4510000e-02 0.0000000e+00 4.2169000e+00 4.2169 i
7.8431000e-02 0.0000000e+00 4.1880800e+00 4.18808 i
8.2353000e-02 0.0000000e+00 4.1379800e+00 4.13798 i
8.6275000e-02 0.0000000e+00 4.1375300e+00 4.13753 i
9.0196000e-02 0.0000000e+00 4.1867500e+00 4.18675 i
9.4118000e-02 0.0000000e+00 4.1082700e+00 4.10827 i
9.8039000e-02 0.0000000e+00 4.1645800e+00 4.16458 i
1.0196100e-01 0.0000000e+00 4.1854200e+00 4.18542 i
1.0588200e-01 0.0000000e+00 4.2417200e+00 4.24172 i
1.0980400e-01 0.0000000e+00 4.1774300e+00 4.17743 i
1.1372500e-01 0.0000000e+00 4.2550200e+00 4.25502 i
1.1764700e-01 0.0000000e+00 4.3184200e+00 4.31842 i
1.2156900e-01 0.0000000e+00 4.2399500e+00 4.23995 i
1.2549000e-01 0.0000000e+00 4.1756600e+00 4.17566 i
1.2941200e-01 0.0000000e+00 4.2106800e+00 4.21068 i
1.3333300e-01 0.0000000e+00 4.1960500e+00 4.19605 i
1.3725500e-01 0.0000000e+00 4.2168900e+00 4.21689 i
1.4117600e-01 0.0000000e+00 4.2306300e+00 4.23063 i
1.4509800e-01 0.0000000e+00 4.2301900e+00 4.23019 i
1.4902000e-01 0.0000000e+00 4.1729900e+00 4.17299 i
1.5294100e-01 0.0000000e+00 4.1725500e+00 4.17255 i
1.5686300e-01 0.0000000e+00 4.1437300e+00 4.14373 i
1.6078400e-01 0.0000000e+00 4.1787600e+00 4.17876 i
1.6470600e-01 0.0000000e+00 4.1783100e+00 4.17831 i
1.6862700e-01 0.0000000e+00 4.1069300e+00 4.10693 i
1.7254900e-01 0.0000000e+00 4.1703300e+00 4.17033 i
1.7647100e-01 0.0000000e+00 4.1557000e+00 4.1557 i
1.8039200e-01 0.0000000e+00 4.1836300e+00 4.18363 i
1.8431400e-01 0.0000000e+00 4.1831900e+00 4.18319 i
1.8823500e-01 0.0000000e+00 4.1827400e+00 4.18274 i
1.9215700e-01 0.0000000e+00 4.1752000e+00 4.1752 i
1.9607800e-01 0.0000000e+00 4.1818500e+00 4.18185 i
2.0000000e-01 0.0000000e+00 4.1388500e+00 4.13885 i
2.0392200e-01 0.0000000e+00 4.0887400e+00 4.08874 i
2.0784300e-01 0.0000000e+00 4.0741100e+00 4.07411 i
2.1176500e-01 0.0000000e+00 4.0736700e+00 4.07367 i
2.1568600e-01 0.0000000e+00 4.0306600e+00 4.03066 i
2.1960800e-01 0.0000000e+00 4.1011600e+00 4.10116 i
2.2352900e-01 0.0000000e+00 4.2000300e+00 4.20003 i
2.2745100e-01 0.0000000e+00 4.1215500e+00 4.12155 i
2.3137300e-01 0.0000000e+00 4.0643600e+00 4.06436 i
2.3529400e-01 0.0000000e+00 4.0497200e+00 4.04972 i
2.3921600e-01 0.0000000e+00 4.1202200e+00 4.12022 i
2.4313700e-01 0.0000000e+00 3.9920800e+00 3.99208 i
2.4705900e-01 0.0000000e+00 4.0058300e+00 4.00583 i
2.5098000e-01 0.0000000e+00 4.1188900e+00 4.11889 i
2.5490200e-01 0.0000000e+00 4.1610100e+00 4.16101 i
2.5882400e-01 0.0000000e+00 4.0470600e+00 4.04706 i
2.6274500e-01 0.0000000e+00 4.0891800e+00 4.08918 i
2.6666700e-01 0.0000000e+00 3.9752300e+00 3.97523 i
2.7058800e-01 0.0000000e+00 3.9464100e+00 3.94641 i
2.7451000e-01 0.0000000e+00 3.8466500e+00 3.84665 i
2.7843100e-01 0.0000000e+00 3.8887700e+00 3.88877 i
2.8235300e-01 0.0000000e+00 3.7251700e+00 3.72517 i
2.8627500e-01 0.0000000e+00 3.7531000e+00 3.7531 i
2.9019600e-01 0.0000000e+00 3.8945400e+00 3.89454 i
2.9411800e-01 0.0000000e+00 4.0998100e+00 4.09981 i
2.9803900e-01 0.0000000e+00 4.2341500e+00 4.23415 i
3.0196100e-01 0.0000000e+00 4.3755900e+00 4.37559 i
3.0588200e-01 0.0000000e+00 4.3396700e+00 4.33967 i
3.0980400e-01 0.0000000e+00 4.3250400e+00 4.32504 i
3.1372500e-01 0.0000000e+00 4.2891300e+00 4.28913 i
3.1764700e-01 0.0000000e+00 4.2603100e+00 4.26031 i
3.2156900e-01 0.0000000e+00 4.2527700e+00 4.25277 i
3.2549000e-01 0.0000000e+00 4.2948900e+00 4.29489 i
3.2941200e-01 0.0000000e+00 4.2589800e+00 4.25898 i
3.3333300e-01 0.0000000e+00 4.3294700e+00 4.32947 i
3.3725500e-01 0.0000000e+00 4.2793700e+00 4.27937 i
3.4117600e-01 0.0000000e+00 4.3073000e+00 4.3073 i
3.4509800e-01 0.0000000e+00 4.3565200e+00 4.35652 i
3.4902000e-01 0.0000000e+00 4.3064200e+00 4.30642 i
3.5294100e-01 0.0000000e+00 4.3698200e+00 4.36982 i
3.5686300e-01 0.0000000e+00 4.3977500e+00 4.39775 i
3.6078400e-01 0.0000000e+00 4.4540600e+00 4.45406 i
3.6470600e-01 0.0000000e+00 4.4252400e+00 4.42524 i
