x          y        class
      3.60     -8.60    0
      4.25      8.97    1
     14.80    -26.60    1
     15.45     26.68    0
     30.20    -27.80    0
     30.60     28.00    1
     36.00    -18.80    1
     36.20     18.80    0
     46.00     -8.80    0
     46.30      8.80    1
     47.20     -1.60    0
     47.50      1.90    1
     48.80    -14.60    0
     48.80     15.00    1
     50.80     -5.20    1
     51.00      5.20    0
     51.90      5.00    1
     53.20    -12.20    0
     53.50     12.65    1
     55.20     -6.40    1
     57.21      6.80    0
     59.28     -6.05    0
     59.60      6.40    1
     62.20    -11.35    0
     61.95     13.38    1
     62.40    -13.50    0
     62.80     -8.20    1
     62.80      8.60    0
     62.80     10.90    1
     66.80     -0.80    1
     66.80      1.20    0
     67.20    -11.40    0
     67.40     -4.08    0
     68.00      4.65    1
     67.20     11.80    1
     67.80     -6.20    0
     68.00     -7.60    1
     68.30      8.20    0
     68.40      6.80    1
     69.20      0.00    1
     69.20      0.40    0
     69.60     -0.40    0
     69.60      0.80    1
