         v         f         e
                     0.283      0.000372902977745174       0.00041250587909891
                       0.3      0.000434299346749975      0.000476632236382703
                     0.317      0.000521353422663917      0.000567283539522994
                     0.334      0.000674585737014966      0.000726376021297574
                     0.351       0.00081114505157276      0.000865463512261404
                     0.368        0.0012423533641926       0.00128684438209833
                     0.385         0.268465805620848         0.137108680215111
                     0.402         0.411250086617214         0.159556885140813
                     0.419         0.501494148145988         0.128389417945084
                     0.436         0.827069625725893         0.250005220877539
                     0.453         0.838271976730416         0.234828565175617
                      0.47          1.11948100236463         0.237560366083266
                     0.487          1.18965603624844         0.223249613848896
                     0.504          1.15230343321235         0.199805235727825
                     0.521          1.34321350304362         0.227905513054101
                     0.538           1.4148245525117          0.24705527217026
                     0.555          1.41191910797781         0.235274715854981
                     0.572          1.62900417125225         0.304266060502107
                     0.589          1.82015701516321         0.339529687938561
                     0.606          1.81728613318205         0.297501865537658
                     0.623          2.17020301515265         0.345740394428775
                      0.64          2.09422979605533         0.304503685569222
                     0.657          2.26223983872725         0.301332452353614
                     0.674          2.37999213742289         0.320518914956357
                     0.691          2.43586634579298         0.308365662013659
                     0.708          2.59980058210962         0.288011020654904
                     0.725          2.69592674438832         0.335073861849726
                     0.742          2.60328685681452         0.352068084959865
                     0.759          2.97699058095399         0.283890770017679
                     0.776          2.66193537377633          0.26558838848093
                     0.793          2.94269917350626         0.307017193734685
                      0.81          3.15086152398976         0.279078471143345
                     0.827          3.34797567023814         0.287037904489673
                     0.844          2.97786760015934         0.261248918681647
                     0.861          3.62574414348306         0.293708596898157
                     0.878          3.22304181244244         0.342794351427987
                     0.895            3.433970512176         0.310166582261915
                     0.912          3.44268197903742          0.41728212596322
                     0.929          4.08155355479179         0.370186341190315
                     0.946          4.08333510697474         0.337232493708879
