         v         f         e
    0.3000    0.0088    0.0014
    0.3170    0.0096    0.0014
    0.3340    0.0106    0.0016
    0.3510    0.0122    0.0018
    0.3680    0.0129    0.0018
    0.3850    0.0148    0.0020
    0.4020    0.2244    0.0176
    0.4190    0.3534    0.0214
    0.4360    0.4426    0.0190
    0.4530    0.7137    0.0349
    0.4700    0.7343    0.0329
    0.4870    0.9657    0.0364
    0.5040    1.0217    0.0360
    0.5210    1.0120    0.0327
    0.5380    1.1802    0.0375
    0.5550    1.2434    0.0396
    0.5720    1.2634    0.0377
    0.5890    1.4510    0.0475
    0.6060    1.6021    0.0529
    0.6230    1.6090    0.0483
    0.6400    1.8975    0.0576
    0.6570    1.8791    0.0524
    0.6740    2.0219    0.0534
    0.6910    2.1129    0.0581
    0.7080    2.1918    0.0554
    0.7250    2.3249    0.0563
    0.7420    2.4148    0.0615
    0.7590    2.3689    0.0609
    0.7760    2.6792    0.0606
    0.7930    2.4528    0.0539
    0.8100    2.6836    0.0599
    0.8270    2.8799    0.0598
    0.8440    3.0295    0.0635
    0.8610    2.7810    0.0550
    0.8780    3.3044    0.0664
    0.8950    3.0026    0.0635
    0.9120    3.1731    0.0655
    0.9290    3.2295    0.0735
    0.9460    3.7045    0.0799
    0.9630    3.7500    0.0747
