x					y					class
  2.40     -8.40    0
  3.08      9.03    1
 10.00     -6.20    0
 10.68      6.66    1
 21.20     -9.40    0
 21.50      9.85    1
 34.00     -7.60    0
 34.20      8.20    1
 34.80    -23.00    0
 34.80     23.40    1
 35.20    -13.00    0
 36.27     13.09    1
 44.00     -8.20    0
 44.68      9.01    1
 50.80    -15.20    0
 51.54     15.77    1
 58.00    -19.20    0
 58.68     19.85    1
 68.20     -2.80    0
 68.17      3.28    1
 70.40    -14.20    0
 70.95     14.53    1
 77.60    -13.90    0
 77.95     14.56    1
 82.40     -6.20    0
 82.48      6.96    1
